,Category,Content
55,spam,thanks for your ringtone order  reference t91  you will be charged gbp 4 per week  you can unsubscribe at anytime by calling customer services on 09057039994
56,spam,double mins and txts 4 6months free bluetooth on orange  available on sony  nokia motorola phones  call mobileupd8 on 08000839402 or call2optout n9dx
57,spam,4mths half price orange line rental   latest camera phones 4 free  had your phone 11mths   call mobilesdirect free on 08000938767 to update now  or2stoptxt
58,spam,free ringtone text first to 87131 for a poly or text get to 87131 for a true tone  help  0845 2814032 16 after 1st free  tones are 3x 150pw to e nd txt stop
59,spam,100 dating service cal l 09064012103 box334sk38ch
60,spam,free entry into our  250 weekly competition just text the word win to 80086 now  18 t c www txttowin co uk
61,spam,send a logo 2 ur lover   2 names joined by a heart  txt love name1 name2 mobno eg love adam eve 07123456789 to 87077 yahoo  pobox36504w45wq txtno 4 no ads 150p
62,spam,someone has contacted our dating service and entered your phone because they fancy you  to find out who it is call from a landline 09111032124   pobox12n146tf150p
63,spam,urgent  your mobile number has been awarded with a  2000 prize guaranteed  call 09058094455 from land line  claim 3030  valid 12hrs only
64,spam,congrats  nokia 3650 video camera phone is your call 09066382422 calls cost 150ppm ave call 3mins vary from mobiles 16  close 300603 post bcm4284 ldn wc1n3xx
65,spam,loan for any purpose  500    75 000  homeowners   tenants welcome  have you been previously refused  we can still help  call free 0800 1956669 or text back  help 
66,spam,upgrdcentre orange customer  you may now claim your free camera phone upgrade for your loyalty  call now on 0207 153 9153  offer ends 26th july  t c s apply  opt out available
67,spam,okmail  dear dave this is your final notice to collect your 4  tenerife holiday or  5000 cash award  call 09061743806 from landline  tcs sae box326 cw25wx 150ppm
68,spam,want 2 get laid tonight  want real dogging locations sent direct 2 ur mob  join the uk s largest dogging network by txting moan to 69888nyt  ec2a  31p msg 150p
69,spam,free message activate your 500 free text messages by replying to this message with the word free for terms   conditions  visit www 07781482378 com
70,spam,congrats  1 year special cinema pass for 2 is yours  call 09061209465 now  c suprman v  matrix3  starwars3  etc all 4 free  bx420 ip4 5we  150pm  dont miss out 
71,spam, 123 congratulations   in this week s competition draw u have won the  1450 prize to claim just call 09050002311 b4280703  t cs stop sms 08718727868  over 18 only 150ppm
72,spam,you are guaranteed the latest nokia phone  a 40gb ipod mp3 player or a  500 prize  txt word  collect to no  83355  ibhltd ldnw15h 150p mtmsgrcvd18 
73,spam,boltblue tones for 150p reply poly  or mono  eg poly3 1  cha cha slide 2  yeah 3  slow jamz 6  toxic 8  come with me or stop 4 more tones txt more
74,spam,your credits have been topped up for http   www bubbletext com your renewal pin is tgxxrz
75,spam,urgent   your mobile no  was awarded a  2 000 bonus caller prize on 02 09 03  this is our 2nd attempt to contact you  call 0871 872 9755 box95qu
76,spam,today s offer  claim ur  150 worth of discount vouchers  text yes to 85023 now  savamob  member offers mobile  t cs 08717898035   3 00 sub  16   unsub reply x
77,spam,you will recieve your tone within the next 24hrs  for terms and conditions please see channel u teletext pg 750
78,spam,private  your 2003 account statement for 07815296484 shows 800 un redeemed s i m  points  call 08718738001 identifier code 41782 expires 18 11 04 
79,spam,from www applausestore com monthlysubscription 50p msg max6 month t csc web age16 2stop txt stop
80,spam,gent  we are trying to contact you  last weekends draw shows that you won a  1000 prize guaranteed  call 09064012160  claim code k52  valid 12hrs only  150ppm 
81,spam,you have won  1 000 cash or a  2 000 prize  to claim  call09050000327
82,spam,our mobile number has won  5000  to claim calls us back or ring the claims hot line on 09050005321 
83,spam,we tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
84,spam,for ur chance to win a  250 wkly shopping spree txt  shop to 80878  t s c s www txt 2 shop com custcare 08715705022  1x150p wk
85,spam,you have been specially selected to receive a 2000 pound award  call 08712402050 before the lines close  cost 10ppm  16   t cs apply  ag promo
86,spam,private  your 2003 account statement for 07753741225 shows 800 un redeemed s  i  m  points  call 08715203677 identifier code  42478 expires 24 10 04
87,spam,you have an important customer service announcement  call freephone 0800 542 0825 now 
88,spam,xclusive clubsaisai 2morow 28 5 soiree speciale zouk with nichols from paris free roses 2 all ladies     info  07946746291 07880867867 
89,spam,22 days to kick off  for euro2004 u will be kept up to date with the latest news and results daily  to be removed send get txt stop to 83222
90,spam,new textbuddy chat 2 horny guys in ur area 4 just 25p free 2 receive search postcode or at gaytextbuddy com  txt one name to 89693
91,spam,todays vodafone numbers ending with 4882 are selected to a receive a  350 award  if your number matches call 09064019014 to receive your  350 award 
92,spam,dear voucher holder  2 claim this weeks offer  at your pc go to http   www e tlp co uk expressoffer ts cs apply 2 stop texts txt stop to 80062 
93,spam,private  your 2003 account statement for shows 800 un redeemed s  i  m  points  call 08715203694 identifier code  40533 expires 31 10 04
94,spam,you have won  1 000 cash or a  2 000 prize  to claim  call09050000327  t c  rstm  sw7 3ss  150ppm
95,spam,88800 and 89034 are premium phone services call 08718711108
96,spam,sms  ac sun0819 posts hello  you seem cool
97,spam,get ur 1st ringtone free now  reply to this msg with tone  gr8 top 20 tones to your phone every week just  1 50 per wk 2 opt out send stop 08452810071 16
98,spam,hi i m sue  i am 20 years old and work as a lapdancer  i love sex  text me live   i m i my bedroom now  text sue to 89555  by textoperator g2 1da 150ppmsg 18 
99,spam, forwarded from 448712404000 please call 08712404000 immediately as there is an urgent message waiting for you 
100,spam,to review and keep the fantastic nokia n gage game deck with club nokia  go 2 www cnupdates com newsletter  unsubscribe from alerts reply with the word out
101,spam,4mths half price orange line rental   latest camera phones 4 free  had your phone 11mths   call mobilesdirect free on 08000938767 to update now  or2stoptxt t cs
102,spam,08714712388 between 10am 7pm cost 10p
103,spam, 449071512431 urgent  this is the 2nd attempt to contact u u have won  1250 call 09071512433 b4 050703 t csbcm4235wc1n3xx  callcost 150ppm mobilesvary  max 7  50
104,spam,you have won a guaranteed  1000 cash or a  2000 prize  to claim yr prize call our customer service representative on 08714712394 between 10am 7pm
105,spam,email alertfrom  jeri stewartsize  2kbsubject  low cost prescripiton drvgsto listen to email call 123
106,spam,hi  customer loyalty offer the new nokia6650 mobile from only  10 at txtauction  txt word  start to no  81151   get yours now  4t ctxt tc 150p mtmsg
107,spam,u are subscribed to the best mobile content service in the uk for  3 per 10 days until you send stop to 82324  helpline 08706091795
108,spam,do you realize that in about 40 years  we ll have thousands of old ladies running around with tattoos 
109,spam,you have an important customer service announcement from premier 
110,spam,romantic paris  2 nights  2 flights from  79 book now 4 next year  call 08704439680ts cs apply 
111,spam,urgent ur  500 guaranteed award is still unclaimed  call 09066368327 now closingdate04 09 02 claimcode m39m51  1 50pmmorefrommobile2bremoved mobypobox734ls27yf
112,spam,ur awarded a city break and could win a  200 summer shopping spree every wk  txt store to 88039   skilgme  tscs087147403231winawk age16  1 50perwksub
113,spam,you have an important customer service announcement from premier  call freephone 0800 542 0578 now 
114,spam,ever thought about living a good life with a perfect partner  just txt back name and age to join the mobile community   100p sms 
115,spam,5 free top polyphonic tones call 087018728737  national rate  get a toppoly tune sent every week  just text subpoly to 81618   3 per pole  unsub 08718727870 
116,spam,orange customer  you may now claim your free camera phone upgrade for your loyalty  call now on 0207 153 9996  offer ends 14thmarch  t c s apply  opt out availa
117,spam,last chance  claim ur  150 worth of discount vouchers today  text shop to 85023 now  savamob  offers mobile  t cs savamob pobox84  m263uz   3 00 sub  16
118,spam,free for 1st week  no1 nokia tone 4 ur mobile every week just txt nokia to 8077 get txting and tell ur mates  www getzed co uk pobox 36504 w45wq 16  norm150p tone
119,spam,you have won a guaranteed  200 award or even  1000 cashto claim ur award call free on 08000407165  18   2 stop getstop on 88222 php  rg21 4jx
120,spam,congratulations ur awarded either  500 of cd gift vouchers   free entry 2 our  100 weekly draw txt music to 87066 tncs www ldew com1win150ppmx3age16
121,spam,u were outbid by simonwatson5120 on the shinco dvd plyr  2 bid again  visit sms  ac smsrewards 2 end bid notifications  reply end out
122,spam,smsservices  for yourinclusive text credits  pls goto www comuk net login  3qxj9 unsubscribe with stop  no extra charge  help 08702840625 comuk  220 cm2 9ae
123,spam,25p 4 alfie moon s children in need song on ur mob  tell ur m8s  txt tone charity to 8007 for nokias or poly charity for polys  zed 08701417012 profit 2 charity 
124,spam,u have a secret admirer  reveal who thinks u r so special  call 09065174042  to opt out reply reveal stop  1 50 per msg recd  cust care 07821230901
125,spam,dear voucher holder  to claim this weeks offer  at you pc please go to http   www e tlp co uk expressoffer ts cs apply  to stop texts  txt stop to 80062
126,spam,do you want 750 anytime any network mins 150 text and a new video phone for only five pounds per week call 08002888812 or reply for delivery tomorrow
127,spam,we tried to contact you re our offer of new video phone 750 anytime any network mins half price rental camcorder call 08000930705 or reply for delivery wed
128,spam,last chance 2 claim ur  150 worth of discount vouchers text yes to 85023 now savamob member offers mobile t cs 08717898035   3 00 sub  16   remove txt x or stop
129,spam,urgent  call 09066350750 from your landline  your complimentary 4  ibiza holiday or 10 000 cash await collection sae t cs po box 434 sk3 8wp 150 ppm 18  
130,spam,today s offer  claim ur  150 worth of discount vouchers  text yes to 85023 now  savamob  member offers mobile  t cs 08717898035   3 00 sub  16   unsub reply x
131,spam,talk sexy   make new friends or fall in love in the worlds most discreet text dating service  just text vip to 83110 and see who you could meet 
132,spam,congratulations ur awarded either a yrs supply of cds from virgin records or a mystery gift guaranteed call 09061104283 ts cs www smsco net  1 50pm approx 3mins
133,spam,private  your 2003 account statement for 07808 xxxxxx shows 800 un redeemed s  i  m  points  call 08719899217 identifier code  41685 expires 07 11 04
134,spam,hello  we need some posh birds and chaps to user trial prods for champneys  can i put you down  i need your address and dob asap  ta r
135,spam,what do u want for xmas  how about 100 free text messages   a new video phone with half price line rental  call free now on 0800 0721072 to find out more 
136,spam,shop till u drop  is it you  either 10k  5k   500 cash or  100 travel voucher  call now  09064011000  ntt po box cr01327bt fixedline cost 150ppm mobile vary
137,spam,sunshine quiz wkly q  win a top sony dvd player if u know which country liverpool played in mid week  txt ansr to 82277   1 50 sp tyrone
138,spam,u have a secret admirer who is looking 2 make contact with u find out who they r reveal who thinks ur so special call on 09058094565
139,spam,u have a secret admirer who is looking 2 make contact with u find out who they r reveal who thinks ur so special call on 09065171142 stopsms 08
140,spam,reminder  you have not downloaded the content you have already paid for  goto http   doit  mymoby  tv  to collect your content 
141,spam,your free ringtone is waiting to be collected  simply text the password  mix   to 85069 to verify  get usher and britney  fml
142,spam,all the lastest from stereophonics  marley  dizzee racal  libertines and the strokes  win nookii games with flirt   click themob wap bookmark or text wap to 82468
143,spam,january male sale  hot gay chat now cheaper  call 08709222922  national rate from 1 5p min cheap to 7 8p min peak  to stop texts call 08712460324  10p min 
144,spam,money    you r a lucky winner   2 claim your prize text money 2 88600 over  1million to give away   ppt150x3 normal text rate box403 w1t1jy
145,spam,dear matthew please call 09063440451 from a landline  your complimentary 4 lux tenerife holiday or  1000 cash await collection  ppm150 sae t cs box334 sk38xh 
146,spam,urgent  call 09061749602 from landline  your complimentary 4  tenerife holiday or  10 000 cash await collection sae t cs box 528 hp20 1yf 150ppm 18 
147,spam,how about getting in touch with folks waiting for company  just txt back your name and age to opt in  enjoy the community  150p sms 
148,spam,ur cash balance is currently 500 pounds   to maximize ur cash in now send go to 86688 only 150p msg  cc  08718720201 po box 114 14 tcr w1
149,spam,filthy stories and girls waiting for your
150,spam,urgent  we are trying to contact u  todays draw shows that you have won a  800 prize guaranteed  call 09050001808 from land line  claim m95  valid12hrs only
151,spam,congrats  2 mobile 3g videophones r yours  call 09063458130 now  videochat wid your mates  play java games  dload polyph music  noline rentl 
152,spam,please call our customer service representative on freephone 0808 145 4742 between 9am 11pm as you have won a guaranteed  1000 cash or  5000 prize 
153,spam,panasonic   bluetoothhdset free  nokia free  motorola free   doublemins   doubletxt on orange contract  call mobileupd8 on 08000839402 or call 2optout
154,spam,free for 1st week  no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates www getzed co uk pobox 36504 w45wq norm150p tone 16 
155,spam,guess what  somebody you know secretly fancies you  wanna find out who it is  give us a call on 09065394514 from landline datebox1282essexcm61xn 150p min 18
156,spam,we know someone who you know that fancies you  call 09058097218 to find out who  pobox 6  ls15hb 150p
157,spam,1000 s flirting now  txt girl or bloke   ur name   age  eg girl zoe 18 to 8007 to join and get chatting 
158,spam,18 days to euro2004 kickoff  u will be kept informed of all the latest news and results daily  unsubscribe send get euro stop to 83222 
159,spam,eastenders tv quiz  what flower does dot compare herself to  d  violet e  tulip f  lily txt d e or f to 84025 now 4 chance 2 win  100 cash wkent 150p16 
160,spam,we have new local dates in your area   lots of new people registered in your area  reply date to start now  18 only www flirtparty us replys150
161,spam,someone u know has asked our dating service 2 contact you  cant guess who  call 09058091854 now all will be revealed  po box385 m6 6wu
162,spam,urgent  we are trying to contact u  todays draw shows that you have won a  800 prize guaranteed  call 09050003091 from land line  claim c52  valid12hrs only
163,spam,dear u ve been invited to xchat  this is our final attempt to contact u  txt chat to 86688
164,spam,you are awarded a sipix digital camera  call 09061221061 from landline  delivery within 28days  t cs box177  m221bp  2yr warranty  150ppm  16   p p 3 99
165,spam,win urgent  your mobile number has been awarded with a  2000 prize guaranteed call 09061790121 from land line  claim 3030 valid 12hrs only 150ppm 
166,spam,dear subscriber ur draw 4  100 gift voucher will b entered on receipt of a correct ans  when was elvis presleys birthday  txt answer to 80062
167,spam,message important information for o2 user  today is your lucky day  2 find out why log onto http   www urawinner com there is a fantastic surprise awaiting you
168,spam,449050000301 you have won a  2 000 price  to claim  call 09050000301 
169,spam,bored of speed dating  try speedchat  txt speedchat to 80155  if you don t like em txt swap and get a new chatter  chat80155 pobox36504w45wq 150p msg rcd 16
170,spam,do you want 750 anytime any network mins 150 text and a new video phone for only five pounds per week call 08000776320 now or reply for delivery tomorrow
171,spam,for taking part in our mobile survey yesterday  you can now have 500 texts 2 use however you wish  2 get txts just send txt to 80160 t c www txt43 com 1 50p
172,spam,ur hmv quiz cash balance is currently  500   to maximize ur cash in now send hmv1 to 86688 only 150p msg
173,spam,dont forget you can place as many free requests with 1stchoice co uk as you wish  for more information call 08707808226 
174,spam,i don t know u and u don t know me  send chat to 86688 now and let s find each other  only 150p msg rcvd  hg suite342 2lands row w1j6hl ldn  18 years or over 
175,spam,thank you  winner notified by sms  good luck  no future marketing reply stop to 84122 customer services 08450542832
176,spam,1000 s of girls many local 2 u who r virgins 2 this   r ready 2 4fil ur every sexual need  can u 4fil theirs  text cute to 69911  1 50p  m 
177,spam,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005  text fa to 87121 to receive entry question std txt rate t c s apply 08452810075over18 s
178,spam,got what it takes 2 take part in the wrc rally in oz  u can with lucozade energy  text rally le to 61200  25p   see packs or lucozade co uk wrc   itcould be u 
179,spam,sex up ur mobile with a free sexy pic of jordan  just text babe to 88600  then every wk get a sexy celeb  pocketbabe co uk 4 more pics  16  3 wk 087016248
180,spam,you have 1 new voicemail  please call 08719181503
181,spam,win a year supply of cds 4 a store of ur choice worth  500   enter our  100 weekly draw txt music to 87066 ts cs www ldew com subs16 1win150ppmx3
182,spam,as a sim subscriber  you are selected to receive a bonus  get it delivered to your door  txt the word ok to no  88600 to claim  150p msg  exp  30apr
183,spam,you have 1 new voicemail  please call 08719181513 
184,spam,no  1 nokia tone 4 ur mob every week  just txt nok to 87021  1st tone free   so get txtin now and tell ur friends  150p tone  16 reply hl 4info
185,spam,you are a winner u have been specially selected 2 receive  1000 cash or a 4  holiday  flights inc  speak to a live operator 2 claim 0871277810810
186,spam,reply with your name and address and you will receive by post a weeks completely free accommodation at various global locations www phb1 com ph 08700435505150p
187,spam,free entry into our  250 weekly comp just send the word enter to 84128 now  18 t c www textcomp com cust care 08712405020 
188,spam,please call 08712402779 immediately as there is an urgent message waiting for you
189,spam,hungry gay guys feeling hungry and up 4 it  now  call 08718730555 just 10p min  to stop texts call 08712460324  10p min 
190,spam,can u get 2 phone now  i wanna chat 2 set up meet call me now on 09096102316 u can cum here 2moro luv jane xx calls 1 minmoremobsemspobox45po139wa
191,spam,network operator  the service is free  for t   c s visit 80488 biz
192,spam,enjoy the jamster videosound gold club with your credits for 2 new videosounds 2 logos musicnews  get more fun from jamster co uk  16 only help  call  09701213186 
193,spam,get 3 lions england tone  reply lionm 4 mono or lionp 4 poly  4 more go 2 www ringtones co uk  the original n best  tones 3gbp network operator rates apply
194,spam,win the newest    harry potter and the order of the phoenix  book 5  reply harry  answer 5 questions   chance to be the first among readers 
195,spam,ur balance is now  500  ur next question is  who sang  uptown girl  in the 80 s   2 answer txt ur answer to 83600  good luck 
196,spam,free2day sexy st george s day pic of jordan txt pic to 89080 dont miss out  then every wk a saucy celeb 4 more pics c pocketbabe co uk 0870241182716  3 wk
197,spam,hot live fantasies call now 08707509020 just 20p per min ntt ltd  po box 1327 croydon cr9 5wb 0870  k
198,spam,bears pic nick  and tom  pete and     dick  in fact  all types try gay chat with photo upload call 08718730666  10p min   2 stop texts call 08712460324
199,spam,500 new mobiles from 2004  must go  txt  nokia to no  89545   collect yours today from only  1 www 4 tc biz 2optout 087187262701 50gbp mtmsg18 txtauction
200,spam,double mins   double txt   1 2 price linerental on latest orange bluetooth mobiles  call mobileupd8 for the very latest offers  08000839402 or call2optout lf56
201,spam,no  1 nokia tone 4 ur mob every week  just txt nok to 87021  1st tone free   so get txtin now and tell ur friends  150p tone  16 reply hl 4info
202,spam,urgent  important information for o2 user  today is your lucky day  2 find out why log onto http   www urawinner com there is a fantastic surprise awaiting for you
203,spam,dear u ve been invited to xchat  this is our final attempt to contact u  txt chat to 86688 150p msgrcvdhg suite342 2lands row w1j6hl ldn 18 yrs
204,spam,congratulations ur awarded either  500 of cd gift vouchers   free entry 2 our  100 weekly draw txt music to 87066 tncs www ldew com 1 win150ppmx3age16
205,spam,for sale   arsenal dartboard  good condition but no doubles or trebles 
206,spam,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or  250 cash every wk  txt pod to 84128 ts cs www textpod net custcare 08712405020 
207,spam,as a registered optin subscriber ur draw 4  100 gift voucher will be entered on receipt of a correct ans to 80062 whats no1 in the bbc charts
208,spam,summers finally here  fancy a chat or flirt with sexy singles in yr area  to get matched up just reply summer now  free 2 join  optout txt stop help08714742804
209,spam,claire here am havin borin time   am now alone u wanna cum over 2nite  chat now 09099725823 hope 2 c u luv claire xx calls 1 minmoremobsemspobox45po139wa
210,spam,bought one ringtone and now getting texts costing 3 pound offering more tones etc
211,spam,09066362231 urgent  your mobile no 07xxxxxxxxx won a  2 000 bonus caller prize on 02 06 03  this is the 2nd attempt to reach you  call 09066362231 asap 
212,spam,you 07801543489 are guaranteed the latests nokia phone  a 40gb ipod mp3 player or a  500 prize  txt word collect to no 83355  tc llc ny usa 150p mt msgrcvd18 
213,spam,hi its lucy hubby at meetins all day fri   i will b alone at hotel u fancy cumin over  pls leave msg 2day 09099726395 lucy x calls 1 minmobsmorelkpobox177hp51fl
214,spam,your account has been credited with 500 free text messages  to activate  just txt the word  credit to no  80488 t cs www 80488 biz
215,spam,sms  ac jsco  energy is high  but u may not know where 2channel it  2day ur leadership skills r strong  psychic  reply ans w question  end  reply end jsco
216,spam,hot live fantasies call now 08707509020 just 20p per min ntt ltd  po box 1327 croydon cr9 5wb 0870 is a national rate call
217,spam,thanks for the vote  now sing along with the stars with karaoke on your mobile  for a free link just reply with sing now 
218,spam,our brand new mobile music service is now live  the free music player will arrive shortly  just install on your phone to browse content from the top artists 
219,spam,urgent  your mobile no was awarded a  2 000 bonus caller prize on 1 08 03  this is our 2nd attempt to contact you  call 0871 4719 523 box95qu bt national rate
220,spam,you have won a nokia 7250i  this is what you get when you win our free auction  to take part send nokia to 86021 now  hg suite342 2lands row w1jhl 16 
221,spam,hello from orange  for 1 month s free access to games  news and sport  plus 10 free texts and 20 photo messages  reply yes  terms apply  www orange co uk ow
222,spam,ur cash balance is currently 500 pounds   to maximize ur cash in now send go to 86688 only 150p msg  cc 08718720201 hg suite342 2lands row w1j6hl
223,spam,sms auction   a brand new nokia 7250 is up 4 auction today  auction is free 2 join   take part  txt nokia to 86021 now  hg suite342 2lands row w1j6hl
224,spam,private  your 2003 account statement for shows 800 un redeemed s  i  m  points  call 08719899230 identifier code  41685 expires 07 11 04
225,spam,as a registered subscriber yr draw 4 a  100 gift voucher will b entered on receipt of a correct ans  when are the next olympics  txt ans to 80062
226,spam,urgent  your mobile number has been awarded with a  2000 prize guaranteed  call 09061790121 from land line  claim 3030  valid 12hrs only 150ppm
227,spam,rt king pro video club   need help  info ringtoneking co uk or call 08701237397 you must be 16  club credits redeemable at www ringtoneking co uk  enjoy 
228,spam,u have a secret admirer who is looking 2 make contact with u find out who they r reveal who thinks ur so special call on 09058094599
229,spam,500 free text msgs  just text ok to 80488 and we ll credit your account
230,spam,you have been selected to stay in 1 of 250 top british hotels   for nothing  holiday worth  350  to claim  call london 02072069400  bx 526  sw73ss
231,spam,eerie nokia tones 4u  rply tone title to 8007 eg tone dracula to 8007 titles  ghost  addamsfa  munsters  exorcist  twilight www getzed co uk pobox36504w45wq 150p
